Group ID,Light Treatment  Population white eyed Female,Light Treatment  Population wild type Female,Light Treatment  Population white eyed Male,Light Treatment  Population wild type Male,Light Treatment Frequency for white eyed Allele,Dark Treatment  Population white eyed Female,Dark Treatment  Population wild type Female,Dark Treatment  Population white eyed Male,Dark Treatment  Population wild type Male,Dark Treatment Frequency for white eyed Allele,Reporting year,Chron Order
F20_103,1,19,4,16,0.2,0,16,20,4,0.833,F20,34
F20_105,0,16,0,24,0,1,17,0,22,0,F20,38
F20_107,0,17,0,20,0,0,22,0,18,0,F20,42
F20_109,0,19,0,21,0,0,16,7,17,0.292,F20,47
F20_111,0,18,7,15,0.318,0,17,7,16,0.304,F20,54
F20_113,0,9,18,13,0.581,1,8,20,9,0.69,F20,44
F20_115,9,7,12,12,0.5,10,11,8,11,0.421,F20,41
F20_117,0,20,4,16,0.2,1,17,4,18,0.182,F20,43
F20_123,8,10,10,12,0.455,8,10,9,13,0.409,F20,52
F20_125,0,19,0,21,0,0,16,7,17,0.292,F20,60
F20_127,1,19,3,17,0.15,6,14,7,13,0.35,F20,56
F20_129,0,18,0,22,0,0,21,1,18,0.053,F20,51
F20_131,0,16,3,21,0.125,7,12,12,9,0.571,F20,59
F20_135,1,21,1,17,0.056,0,20,20,0,1,F20,61
F20_139,6,12,7,15,0.318,0,19,0,21,0,F20,57
F20_141,0,21,2,17,0.105,0,20,2,18,0.1,F20,48
F20_143,4,14,6,16,0.273,2,16,6,16,0.273,F20,46
F20_145,0,23,0,17,0,1,22,0,17,0,F20,55
F20_147,4,16,6,14,0.3,2,16,6,16,0.273,F20,50
F20_149,7,12,8,13,0.381,4,18,6,12,0.333,F20,49
F20_151,0,15,7,18,0.28,0,20,20,0,1,F20,62
F20_155,0,20,0,20,0,0,17,0,23,0,F20,64
F20_157,0,20,8,12,0.4,0,20,8,12,0.4,F20,69
F20_159,2,20,5,13,0.278,2,20,4,14,0.222,F20,66
F20_161,1,22,3,14,0.176,1,20,6,13,0.316,F20,65
F20_163,3,15,6,16,0.273,8,11,12,9,0.571,F20,70
F20_165,0,9,2,29,0.065,4,13,9,14,0.391,F20,67
F20_167,4,16,9,11,0.45,0,20,20,0,1,F20,68
F20_171,3,18,8,11,0.421,2,17,7,15,0.318,F20,75
F20_173,0,18,8,14,0.364,0,16,8,16,0.333,F20,77
F20_175,1,19,3,17,0.15,1,20,5,14,0.263,F20,79
F20_177,4,16,5,15,0.25,4,15,7,14,0.333,F20,71
F20_179,0,20,2,18,0.1,8,12,12,8,0.6,F20,72
F20_181,0,18,8,14,0.364,0,20,6,14,0.3,F20,80
F20_187,4,15,6,15,0.286,2,17,8,13,0.381,F20,81
F20_189,2,9,6,21,0.222,3,7,8,24,0.25,F20,76
F20_191,1,21,0,18,0,0,22,0,18,0,F20,74
F20_193,0,20,0,20,0,1,17,3,11,0.214,F20,82
F20_195,3,17,5,14,0.263,2,10,20,8,0.714,F20,73
F20_197,7,15,4,14,0.222,6,12,8,14,0.364,F20,78
F20_203,0,20,3,14,0.176,3,19,2,13,0.133,F20,85
F20_205,2,15,2,20,0.091,1,12,6,20,0.231,F20,86
F20_207,0,18,6,16,0.273,0,20,2,18,0.1,F20,90
F20_209,0,20,4,16,0.2,2,18,9,11,0.45,F20,88
F20_211,0,16,0,20,0,7,14,11,7,0.611,F20,84
F20_213,0,19,0,22,0,0,16,0,24,0,F20,87
F20_215,0,21,6,13,0.316,0,20,20,0,1,F20,101
F20_219,0,16,6,19,0.24,0,19,9,13,0.409,F20,100
F20_221,1,16,8,16,0.333,0,16,9,15,0.375,F20,94
F20_223,1,18,9,11,0.45,3,17,6,13,0.316,F20,95
F20_225,1,19,4,16,0.2,1,18,5,16,0.238,F20,96
F20_227,3,11,11,15,0.423,0,5,21,14,0.6,F20,97
F20_229,0,20,9,12,0.429,1,18,6,14,0.3,F20,103
F20_235,5,16,7,12,0.368,0,19,8,14,0.364,F20,92
F20_237,0,18,0,23,0,1,15,5,19,0.208,F20,93
F20_239,5,8,10,16,0.385,1,18,1,20,0.048,F20,91
F20_241,5,7,12,15,0.444,0,13,1,23,0.042,F20,98
F20_243,3,16,8,12,0.4,9,10,7,14,0.333,F20,89
F20_245,0,17,0,24,0,0,16,6,16,0.273,F20,102
F20_251,0,20,0,20,0,0,22,0,18,0,F20,106
F20_253,1,18,7,14,0.333,0,19,5,16,0.238,F20,115
F20_255,1,20,7,11,0.389,0,18,4,18,0.182,F20,112
F20_257,8,12,7,13,0.35,8,12,11,9,0.55,F20,118
F20_259,0,21,4,15,0.211,8,13,11,8,0.579,F20,105
F20_261,0,19,0,21,0,0,16,0,22,0,F20,104
F20_263,1,20,8,11,0.421,0,16,20,4,0.833,F20,122
F20_267,0,20,2,18,0.1,0,19,4,17,0.19,F20,110
F20_269,0,21,0,20,0,0,16,10,13,0.435,F20,116
F20_271,2,20,7,11,0.389,3,17,6,14,0.3,F20,165
F20_275,0,16,12,12,0.5,9,11,11,8,0.579,F20,109
F20_277,0,22,7,12,0.368,6,15,3,15,0.167,F20,108
F20_279,1,17,1,21,0.045,2,16,18,4,0.818,F20,107
F20_283,6,16,5,13,0.278,5,15,9,12,0.429,F20,111
F20_285,5,17,6,13,0.316,5,15,4,16,0.2,F20,121
F20_287,2,20,9,9,0.5,0,19,5,16,0.238,F20,113
F20_289,3,14,1,21,0.045,8,14,8,10,0.444,F20,119
F20_291,0,19,0,21,0,13,6,8,13,0.381,F20,114
F20_293,3,19,8,11,0.421,3,16,7,13,0.35,F20,120
F20_299,0,16,0,24,0,0,18,0,22,0,F20,131
F20_301,0,17,1,22,0.043,0,17,1,22,0.043,F20,125
F20_303,18,2,11,9,0.55,20,1,6,13,0.316,F20,126
F20_305,3,19,5,13,0.278,2,19,8,11,0.421,F20,127
F20_307,0,20,8,12,0.4,10,10,12,8,0.6,F20,130
F20_309,0,17,9,14,0.391,0,16,8,16,0.333,F20,123
F20_311,8,15,9,8,0.529,0,20,20,0,1,F20,128
F20_315,0,16,0,24,0,0,19,0,21,0,F20,140
F20_317,0,20,8,12,0.4,0,20,8,12,0.4,F20,142
F20_319,1,18,6,15,0.286,0,17,4,19,0.174,F20,135
F20_321,0,18,10,13,0.435,4,17,4,15,0.211,F20,145
F20_323,3,15,8,14,0.364,7,10,14,9,0.609,F20,133
F20_325,0,20,7,13,0.35,0,20,7,13,0.35,F20,139
F20_327,2,17,10,11,0.476,2,16,22,0,1,F20,143
F20_329,4,17,5,13,0.278,3,18,9,9,0.5,F20,146
F20_331,5,15,7,13,0.35,0,19,0,22,0,F20,319
F20_333,1,20,7,12,0.368,1,17,11,11,0.5,F20,132
F20_337,0,20,7,13,0.35,1,19,10,10,0.5,F20,144
F20_339,0,20,8,12,0.4,12,8,9,11,0.45,F20,136
F20_341,0,22,0,19,0,0,21,0,20,0,F20,138
F20_347,0,15,0,25,0,0,17,0,24,0,F20,148
